codigo de transformador;capacidadtransformador;georeferencia;tipotransformador;direccion;codigo nodo;codigo usuario;tipousuario;codigo concentrador;codigo de caja;codigo de colector ;codigo de medidor;display;estado
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;381406;MONOFASICO;8562;6168;12382;51041;29687;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;381410;MONOFASICO;8562;6168;12382;54904;36548;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;381854;MONOFASICO;8562;6168;12382;54014;35054;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;7;426803;MONOFASICO;8562;6168;12382;54042;33022;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;9;1156069;MONOFASICO;8562;6265;12679;54176;33740;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;9;381858;MONOFASICO;8562;6265;12679;52536;34708;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;9;422102;MONOFASICO;8562;6265;12679;54155;33930;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;9;422104;MONOFASICO;8562;6265;12679;54695;33726;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;9;508643;MONOFASICO;8562;6265;12679;52538;33610;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;0;1046721;MONOFASICO;8585;5679;12425;50756;32754;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;0;1173804;MONOFASICO;8585;5679;12425;29600;32222;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;0;381904;MONOFASICO;8585;5679;12425;50777;32753;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;1;1070984;MONOFASICO;8585;5732;12943;51233;35033;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;1;1070993;MONOFASICO;8585;5732;12943;52481;35026;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;1;381890;MONOFASICO;8585;5732;12943;50762;32750;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;1;381896;MONOFASICO;8585;5732;12943;50774;35037;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;1;381898;MONOFASICO;8585;5732;12943;50764;35029;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;1;422108;MONOFASICO;8585;5732;12943;51220;35025;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;1017927;MONOFASICO;8585;6450;12474;51307;32450;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;1030667;MONOFASICO;8585;6450;12474;52700;36935;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;1030668;MONOFASICO;8585;6450;12474;52675;36942;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;1058889;MONOFASICO;8585;6450;12474;52708;36566;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;1107194;MONOFASICO;8585;6450;12474;51285;32458;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;1139638;MONOFASICO;8585;6450;12474;54967;36574;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;381856;MONOFASICO;8585;6450;12474;52676;36565;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;381906;MONOFASICO;8585;6450;12474;52687;32442;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;381908;MONOFASICO;8585;6450;12474;51308;36562;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;599142;MONOFASICO;8585;6450;12474;52702;36568;Activo
60TA010004;75.00;"(1.806694,-78.773611)";TRIFASICO;AV FERREA_TRV-23;10;602033;MONOFASICO;8585;6450;12474;51306;35389;Activo
